,year,month,day,hour,outdoor_temperature,heat_transfer_window ,heat_transfer_wall,heat_transfer_infiltration,heat_transfer_natural_vent,heating_load,cooling_load,lighting_energy,equipment_energy,heat_energy,cool_energy,DHW_energy,pump_energy,fan_energy,total_electricity,total_gas,SWH_production,PV_production,wind_production,occupants
7966,1998,11,28,23,8.0,-677395.967999443,-6266050.806828101,669119.9999999999,0.0,25539202.830825128,0.0,602208.0,2375268.9408,33112051.68942514,0.0,11199688.546230623,427133.3476061946,480776.4280735989,3885386.7164797937,44311740.23565576,0.0,0.0,0.0,4.4608
7967,1998,11,28,24,8.0,-416985.04538597143,-3857196.68186476,669119.9999999999,0.0,26325492.38176101,0.0,602208.0,2375268.9408,34131490.723051496,0.0,11199688.546230623,427133.3476061946,480776.4280735989,3885386.7164797937,45331179.26928212,0.0,0.0,0.0,4.4608
7968,1998,11,29,1,8.0,-500382.0544631656,-4628636.018237712,669119.9999999999,0.0,27541656.15376515,0.0,200736.0,1570959.936,35708269.6831529,0.0,11199688.546230623,427133.3476061946,480776.4280735989,2679605.7116797934,46907958.22938352,0.0,0.0,0.0,4.4608
7969,1998,11,29,2,7.0,-415470.3763055504,-3843185.6840705457,669119.9999999999,0.0,28858149.37445468,0.0,200736.0,1570959.936,37415127.64034942,0.0,11199688.546230623,427133.3476061946,480776.4280735989,2679605.7116797934,48614816.18658004,0.0,0.0,0.0,4.4608
7970,1998,11,29,3,7.0,-675082.3898428826,-6244649.73720351,669119.9999999999,0.0,29913645.22895915,0.0,200736.0,1570959.936,38783597.65579338,0.0,11199688.546230623,427133.3476061946,480776.4280735989,2679605.7116797934,49983286.202024005,0.0,0.0,0.0,4.4608
7971,1998,11,29,4,6.0,-662772.8624728201,-6130784.099448612,669119.9999999999,0.0,31679940.12238902,0.0,200736.0,1570959.936,41073631.851356715,0.0,11199688.546230623,427133.3476061946,480776.4280735989,2679605.7116797934,52273320.39758734,0.0,0.0,0.0,4.4608
7972,1998,11,29,5,5.0,-671806.289323022,-6214345.139485945,669119.9999999999,0.0,33553545.276943743,0.0,200736.0,1570959.936,43480146.9842958,0.0,11199688.546230623,427133.3476061946,480776.4280735989,2679605.7116797934,54679835.53052642,0.0,0.0,0.0,4.4608
7973,1998,11,29,6,4.0,-670867.1792510264,-6205658.179860679,669119.9999999999,0.0,35475611.590445995,0.0,200736.0,1570959.936,45930385.492170446,0.0,11199688.546230623,427133.3476061946,480776.4280735989,2679605.7116797934,57130074.03840107,0.0,0.0,0.0,4.4608
7974,1998,11,29,7,3.0,-470550.10923826974,-4352684.44297551,669119.9999999999,0.0,36998937.24014394,0.0,200736.0,1570959.936,47858372.151710704,0.0,11199688.546230623,427133.3476061946,480776.4280735989,2679605.7116797934,59058060.697941326,0.0,0.0,0.0,4.4608
7975,1998,11,29,8,6.0,-673215.339901172,-6227379.144601377,669119.9999999999,0.0,34242253.39888641,0.0,863164.7999999999,2019203.424,44344934.28550185,0.0,9890444.955176264,427133.3476061946,480776.4280735989,3790277.9996797936,54235379.24067812,0.0,0.0,0.0,3.93933248
