,floor_1_perimeter,floor_1_core,floor_2_perimeter,floor_2_core,floor_3_perimeter,floor_3_core,floor_1_plenum,floor_2_plenum,floor_3_plenum
1560,17.44149824714506,20.859595253123103,17.00184359977387,20.24587278377832,16.19690935909725,19.219013064384267,18.70055492795928,18.27506234710021,15.732077784615605
1561,17.118326713013627,20.701305050925736,16.654457526909273,20.05975852319688,15.841481895058642,19.019161792363636,18.49688254243579,18.04390119900214,15.544682429439066
1562,16.894357919416276,20.51857088407434,16.40721565569895,19.849986319376015,15.581707360045252,18.789927506807583,18.333256239775555,17.859245485830826,15.38710171282954
1563,16.707093716093002,20.348027927649422,16.19560009716073,19.650581520269633,15.355315623112345,18.568473924185263,18.182294263514112,17.688190001569307,15.237226267586863
1564,16.546237382712743,20.189253676266286,16.00859996019328,19.46026999391122,15.153179711591397,18.355854429457338,18.037660269010757,17.52339591353121,15.093716468439252
1565,16.461731046384898,20.089303819514186,15.896074551380654,19.326036524436358,15.026391669092728,18.200548831842667,17.90303914790874,17.36856787017746,14.960806218102558
1566,17.638044053002986,19.74437317946129,17.514673232864002,18.960185710314377,17.331810744211815,17.957182826562885,17.780592138888064,17.226043501136903,14.850669736993003
1567,22.06223332018235,22.210584580510712,22.033919112928533,22.012588901683454,22.002748958043433,21.772427971899006,17.794593213774597,17.284141836448583,14.990565632546287
1568,23.453316573727435,23.33870761533079,23.4648641882449,23.295869952589932,23.487104072707126,23.254542691645543,18.558123744941415,18.14724260008208,15.606067840695598
1569,23.518460727744614,23.40278138975217,23.533094301170905,23.348721804635517,23.547190672865927,23.343462966873343,19.22118413014014,18.874783237496167,16.32855982480598
1570,23.82618025407367,23.68298034933692,23.507478818516738,23.238754549133294,23.3881320502598,23.244746428183166,19.672625070149973,19.363902553582623,17.14187764439344
1571,24.07474645991599,23.990641059894802,23.738850903288473,23.39994416889478,23.278755582524077,23.17342104910119,19.962671253963006,19.668591981758542,17.814691832548025
1572,24.101759827265628,23.938540011519034,24.030680622196957,23.328108495663834,23.56953957468472,23.04941147007535,20.249335716684,19.91892657530685,18.15854111939051
1573,24.187941291247547,24.106850585080725,24.17721448455086,23.8417401020741,24.083712000076805,23.20003136849274,20.527354540710117,20.18408424197686,18.503598660950665
1574,24.06164108559081,24.08712704775882,24.076000272586942,24.034223373951967,24.050929275800005,23.441281594499404,20.696300857565873,20.343393049056242,18.565506050442952
1575,23.834080925228875,24.051207444161644,23.85265402569895,24.05395613406869,23.642969251885134,23.5986305612307,20.754356934004246,20.415696460106094,18.37459015894499
1576,22.93419381664293,24.023470826399244,22.87850310309031,24.03997462898093,22.833189496072837,23.641307787116897,20.72829537281227,20.403595404539672,18.032147574839236
1577,22.630652853806872,23.470369335493487,22.62661960601674,23.235475843782986,22.612238233839264,22.879194476228278,20.67867489256225,20.38309857131097,17.857305880853442
