,year,month,day,hour,outdoor_temperature,heat_transfer_window ,heat_transfer_wall,heat_transfer_infiltration,heat_transfer_natural_vent,heating_load,cooling_load,lighting_energy,equipment_energy,heat_energy,cool_energy,DHW_energy,pump_energy,fan_energy,total_electricity,total_district_cooling,total_district_heating,SWH_production,PV_production,wind_production,occupants
7442,1998,11,7,3,-1.0,-68402514.2968095,-156662040.90356058,693873653.7600001,0.0,11450743181.487593,1642669059.5533867,1388549283.8400002,6721994419.199999,19599621107.04369,3495678810.366513,791910095.4184026,130457878.0830862,274669943.8695298,8515671524.992615,3495678810.366513,20391531202.462093,0.0,0.0,0.0,806.3873684210527
7443,1998,11,7,4,-1.0,-76126964.21725245,-174353321.72611922,693873653.7600001,0.0,11458138283.537394,1641674261.9371455,1388549283.8400002,6721994419.199999,19611201269.40909,3493559228.110868,791910095.4184026,130457878.0830862,274669943.8695298,8515671524.992615,3493559228.110868,20403111364.82749,0.0,0.0,0.0,806.3873684210527
7444,1998,11,7,5,-1.0,-17625913.771094248,-40368569.08779733,693873653.7600001,0.0,11483847024.756014,1635534117.6480575,1388549283.8400002,6721994419.199999,19649836905.445816,3480483970.785546,791910095.4184026,130457878.0830862,274669943.8695298,8515671524.992615,3480483970.785546,20441747000.86422,0.0,0.0,0.0,806.3873684210527
7445,1998,11,7,6,3.0,-38992303.680003904,-89303937.68180172,693873653.7600001,0.0,8825451036.486485,1779693510.562611,1406199490.56,6810245452.8,15415137951.67405,3787408098.795857,791910095.4184026,130457878.0830862,274669943.8695298,8621572765.312616,3787408098.795857,16207048047.092451,0.0,0.0,0.0,806.3873684210527
7446,1998,11,7,7,4.0,-26774719.95375726,-61322048.11033603,693873653.7600001,0.0,8008233007.287298,1929714122.4335618,1494450524.1599998,7251500620.800001,14176662849.587677,4106749726.082555,1108674133.5857637,130457878.0830862,274669943.8695298,9151078966.912617,4106749726.082555,15285336983.17344,0.0,0.0,0.0,1128.9423157894737
7447,1998,11,7,8,4.0,386794344.73221385,281546673.81786853,693873653.7600001,0.0,7986291906.816686,1990797385.0480018,1565051351.04,7604504755.199999,14179208907.224478,4236751688.3190746,1108674133.5857637,130457878.0830862,274669943.8695298,9574683928.192614,4236751688.3190746,15287883040.810242,0.0,0.0,0.0,1128.9423157894737
7448,1998,11,7,9,7.0,403982533.92220676,287647925.86231846,693873653.7600001,0.0,5951294241.973696,2124772207.768002,1565051351.04,7604504755.199999,10951847312.042276,4521981351.348559,1504629181.2949648,130457878.0830862,274669943.8695298,9574683928.192614,4521981351.348559,12456476493.337242,0.0,0.0,0.0,1532.1359999999997
7449,1998,11,7,10,9.0,489764631.28028685,402410736.6875053,693873653.7600001,0.0,4643503983.025566,2194245718.6143317,1565051351.04,7604504755.199999,8868561581.177084,4669895384.140813,1504629181.2949648,130457878.0830862,274669943.8695298,9574683928.192614,4669895384.140813,10373190762.47205,0.0,0.0,0.0,1532.1359999999997
7450,1998,11,7,11,10.0,628068918.2190335,434211376.0374671,693873653.7600001,0.0,3999092341.323408,2232618722.9301233,1565051351.04,7604504755.199999,7845189494.446798,4751591650.915956,1504629181.2949648,130457878.0830862,274669943.8695298,9574683928.192614,4751591650.915956,9349818675.741764,0.0,0.0,0.0,1532.1359999999997
7451,1998,11,7,12,11.0,625705872.9275582,319920873.1133645,693873653.7600001,0.0,3330020670.981161,2278657321.3931584,1565051351.04,7604504755.199999,6786383081.796089,4849610742.584937,1504629181.2949648,130457878.0830862,274669943.8695298,9574683928.192614,4849610742.584937,8291012263.091054,0.0,0.0,0.0,1532.1359999999997
7452,1998,11,7,13,12.0,626651953.7770236,291397180.868183,693873653.7600001,0.0,2679022203.5937905,2311424575.582301,1582701557.76,7692755788.799999,5748910118.339575,4919380735.417602,1108674133.5857637,130457878.0830862,274669943.8695298,9680585168.512615,4919380735.417602,6857584251.925339,0.0,0.0,0.0,1128.9423157894737
7453,1998,11,7,14,11.0,491435853.12717885,198357730.78307402,693873653.7600001,0.0,3219476225.7773924,2346844232.871106,1600351764.48,7781006822.4,6648024180.058693,4994761490.730465,1504629181.2949648,130457878.0830862,274669943.8695298,9786486408.832615,4994761490.730465,8152653361.353658,0.0,0.0,0.0,1532.1359999999997
7454,1998,11,7,15,11.0,331876500.3155885,97197632.4593629,693873653.7600001,0.0,3179092380.4036875,2364511455.59991,1600351764.48,7781006822.4,6593093679.073675,5032374570.824069,1504629181.2949648,130457878.0830862,274669943.8695298,9786486408.832615,5032374570.824069,8097722860.36864,0.0,0.0,0.0,1532.1359999999997
7455,1998,11,7,16,11.0,151235858.48646444,48835735.91367432,693873653.7600001,0.0,3141384499.5309186,2381181711.578819,1600351764.48,7781006822.4,6541908299.931349,5067864971.405515,1504629181.2949648,130457878.0830862,274669943.8695298,9786486408.832615,5067864971.405515,8046537481.226314,0.0,0.0,0.0,1532.1359999999997
7456,1998,11,7,17,11.0,22812085.171794202,-13367392.29956869,693873653.7600001,0.0,3111944548.631303,2395515068.499425,1600351764.48,7781006822.4,6502743498.391951,5098379269.173662,1504629181.2949648,130457878.0830862,274669943.8695298,9786486408.832615,5098379269.173662,8007372679.686915,0.0,0.0,0.0,1532.1359999999997
7457,1998,11,7,18,10.0,-16294004.242501255,-37318101.32073733,693873653.7600001,0.0,3992522939.08917,2176867834.3084927,1441499904.0,6986747520.0,7800714034.73742,4632964944.798675,1108674133.5857637,130457878.0830862,274669943.8695298,8833375245.952616,4632964944.798675,8909388168.323183,0.0,0.0,0.0,1128.9423157894737
7458,1998,11,7,19,10.0,-15774266.663787985,-36127748.14947541,693873653.7600001,0.0,4069765222.21314,2116817228.677631,1406199490.56,6810245452.8,7889869647.575454,4505145271.547197,791910095.4184026,130457878.0830862,274669943.8695298,8621572765.312616,4505145271.547197,8681779742.993856,0.0,0.0,0.0,806.3873684210527
7459,1998,11,7,20,8.0,-14969601.606233915,-34284826.56309622,693873653.7600001,0.0,5355720744.270522,2054401652.2215235,1406199490.56,6810245452.8,9940622712.512077,4372252968.404654,791910095.4184026,130457878.0830862,274669943.8695298,8621572765.312616,4372252968.404654,10732532807.93048,0.0,0.0,0.0,806.3873684210527
